seller_id,buyer_id,traded_energy,traded_price,traded_rate,bid_id,timestamp
Market Maker,Liege,10.0,300.0,30.0,228f3d49-9c5b-4015-b856-f40f054f32fe,1691659249.5564973
Liege,B04,2.0,60.0,30.0,b9d61a5b-f442-4b28-bd78-ffd2371e531d,1691659274.2526562
Market Maker,Liege,2.0,60.0,30.0,ceefcec3-87bc-4743-a6d3-6589132358b7,1691659299.3918867
Liege,B34,18.0,540.0,30.0,189a3bac-fb17-474a-85cc-5b16b2ff4791,1691659324.6758325
Market Maker,Liege,18.0,540.0,30.0,c2c48970-4b32-47b9-864e-2f542789f575,1691659349.8783083
Liege,B08,14.0,420.0,30.0,18d270f1-668d-42ec-a868-ada8427efb59,1691659375.7305236
Market Maker,Liege,14.0,420.0,30.0,bb4be180-5370-45eb-a4eb-6768e9f67cec,1691659401.7435982
Liege,B17,3.0,90.0,30.0,03985461-645a-4d26-8636-393c360a52ba,1691659428.238814
Market Maker,Liege,3.0,90.0,30.0,f5dd12a7-87dd-4001-be36-e203a9291bd6,1691659454.3119347
Liege,B28,76.0,2280.0,30.0,68a92475-a522-42f4-b240-27330f0aa755,1691659481.1098506
Market Maker,Liege,76.0,2280.0,30.0,a31e6974-4938-426e-b3a6-88e9b79c5527,1691659508.2868052
Liege,B36,137.0,4110.0,30.0,1cc8e02b-7fbb-4617-b38b-9e20f1eba892,1691659535.1058037
Market Maker,Liege,137.0,4110.0,30.0,8ad38906-55f6-4ec4-b001-c787f3fdd9e8,1691659562.6378498
Liege,B23,89.0,2670.0,30.0,ffec88a9-730d-4426-afee-87a887586d12,1691659590.1204705
Market Maker,Liege,89.0,2670.0,30.0,a61c9bee-fb80-4077-b988-9b537cd1f690,1691659617.838245
Liege,B52,10.0,300.0,30.0,8c4db5f3-74dc-408b-92c9-6e3c979fed4b,1691659645.788549
Market Maker,Liege,10.0,300.0,30.0,b5ace7f7-2d49-47a8-99d2-5413b05ccce0,1691659680.3856075
Liege,B10,36.0,1080.0,30.0,86e9caee-30aa-4d5c-98d5-e23a066f1f10,1691659716.7270434
